,name,city,country,status.started,status.completed,height in meters,height,floors,material,function,,,,,,,,,,,
1,Burj Khalifa,Dubai,UAE,2009,2010,"2,722","2,722 ft",39,steel/concrete,variety,,,,,,,,,,,
2,Shanghai Tower,Shanghai,China,2008,2014,2073,2073 ft,128,composite,"Misc, Cultural Monument",,,,,,,,,,,
3,Makkah Royal Clock Tower,Mecca,Saudi Arabia,2002,2012,601,601m/1972ft,120,steel/concrete,Clock/Retail/Hotel/Residential,,,,,,,,,,,
4,Ping An Finance Center,Shenzhen,China,2010,2017,599.1,599.1m/1965ft,115,composite,Office/Retail/Hotel,,,,,,,,,,,
5,Lotte World Tower,Seoul,South Korea,2012,2017,554.5,"554.5 m / 1,819 ft",123,composite,hotel / residential / office / retail,,,,,,,,,,,
6,One World Trade Center,New York City,New York,2006,2014,541.3,"541.3 m / 1,776 ft",94,composite,office,,,,,,,,,,,
7,Guangzhou CTF Finance Centre,Guangzhou,China,2010,2016,530,"530 m / 1,739 ft",111,composite,Hotel / Residential / Office,,,,,,,,,,,
8,Tianjin CTF Finance Centre,Tianjin,China,2103,2019,530.4,"530.4 m / 1,740 ft",97,composite,Hotel / Residential / Office,,,,,,,,,,,
9,CITIC Tower,Beijing,China,2012,2018,528,"528 m / 1,732 ft",109,composite,office,,,,,,,,,,,
10,TAIPEI 101,Taipei,Taiwan,1999,2004,508,"508 m / 1,667 ft",101,composite,office,,,,,,,,,,,
11,Shanghai World Financial Center,Shanghai,China,1997,2007,492,"492m/1,614ft",101,composite,Hotel/Office,,,,,,,,,,,
12,International Commerce Centre,Hong Kong,China,2002,2010,484,"484m/1,588ft",108,composite,Hotel/Office,,,,,,,,,,,
13,Central Park Tower,New York City,USA,2014,2020,472.4,472.4 m,98,concrete,residential,,,,,,,,,,,
14,Lakhta Center,St. Petersburg,Russia,2012,2019,462,462 m,87,composite,office,,,,,,,,,,,
15,Vincom Landmark 81,Ho Chi Minh City,Vietnam,2015,2018,461.2,461.2 m,81,composite,"residential, retail, cinema, parking",,,,,,,,,,,
16,Changsha IFS Tower T1,Changsha,China,2013,2017,452.1,452.1 m,95,composite,"retail, residential, dining",,,,,,,,,,,
17,Petronas Twin Tower 1,Kuala Lumpur,Malasya,1993,1996,459.1,459.1 m,88,composite,office,,,,,,,,,,,
18,Petronas Twin Tower 2,Kuala Lumpur,Malasya,1993,1996,459.1,459.1 m,88,composite,office,,,,,,,,,,,
19,Suzhou IFS,Suzhou,China,2012,2019,450,"450m, 1,476 ft",95,composite,hotel/office/serviced apartments,,,,,,,,,,,
20,Zifeng Tower,Nanjing,China,2005,2010,450,"450 m / 1,476 ft",66,composite,hotel/office,,,,,,,,,,,
21,The Exchange 106,Kuala Lumpur,Malaysia,2016,2019,445.5,445.5m / 1462ft,96,composite,"office, retail",,,,,,,,,,,
22,Wuhan Center Tower,Wuhan,China,2011,2019,443.1,"443.1 m / 1,454 ft",88,composite,"retail, office, residential, hotel",,,,,,,,,,,
23,Willis Tower,Chicago,United States of America,1970,1974,442.3,"442.3 meters (1,451 ft)",110,steel,"office, observation, communication, dining, retail, residential",,,,,,,,,,,
24,KK100,Shenzhen,China,2007,2011,441.8,"441.8 meters (1,449 ft)",98,composite,"office, hotel, dining, retail ",,,,,,,,,,,
25,Guangzhou International Finance Center,Guangzhou,China,2010,2016,438.6,438.6 m / 1438.9 ft,111,composite,hotel / residential / office,,,,,,,,,,,
26,111 West 57th Street,New York City,United States of America,2015,2021,435,435 m,84,steel/concrete,Residential,,,,,,,,,,,
27,One Vanderbilt Avenue,New York City,United States of America,,2020,427,"427 m / 1,401 ft",62,composite,office,,,,,,,,,,,
28,432 Park Avenue,New York City,United States of America,,2015,425.7,"425.7 m / 1,397 ft",85,concrete,residential,,,,,,,,,,,
29,Marina 101,Dubai,United Arab Emirates,2007,2017,425,"425 m / 1,394 ft",101,concrete,residential / hotel,,,,,,,,,,,
30,Trump International Hotel & Tower,Chicago,United States of America,2005,2009,423.2,"423.2 m / 1,389 feet",100,concrete,residential / hotel / retail,,,,,,,,,,,
31,Minying International Trade Center T2,Dongguan,China,2014,2021,420.5,420.5 m/ 1380 ft,88,composite,Retail,,,,,,,,,,,
32,Jin Mao Tower,Shanghai,China,1994,1999,429.6,429.6m / 1409.45 ft,88,composite,"Office, hotel, retail facilities, service amenities and parking.",,,,,,,,,,,
33,Princess Tower,Dubai,United Arab Emirates,2006,2012,413.4,"413.4 m / 1,356 ft",101,steel/concrete,Residential,,,,,,,,,,,
34,Al Hamra Tower,Kuwait City,Kuwait,2005,2011,412.6,"412.6 m / 1,354 ft",80,concrete,Office,,,,,,,,,,,
35,Two International Finance Centre,Hong Kong,China,1996,2003,412,"412 m / 1,352 ft",88,composite,office,,,,,,,,,,,
36,LCT The Sharp Landmark Tower,Busan,South Korea,2013,2019,411.6,"411.6 m / 1,350 ft",101,concrete,Hotel/Residential,,,,,,,,,,,
37,Guangxi China Resources Tower,"Nanning, Guangxi, China",China,2014,2020,"1,321","1,321 ft",87,composite,hotel/office,,,,,,,,,,,
38,Guiyang International Financial Center T1,Guiyang,China,2016,2020,"1,316","1,316 ft",79,composite,Hotel/Office,,,,,,,,,,,
39,China Resources Tower,,Shenzhen,2012,2018,392.5,"392.5 m / 1,288 ft",68,composite,office,,,,,,,,,,,
40,23 Marina,,Dubai,2006,2012,392.4,"392.4 m / 1,287 ft",88,concrete,residential,,,,,,,,,,,
41,CITIC Plaza,Guangzhou,China,1993,1996,390.2,"390.2 m / 1,280 ft",80,composite,office / retail,,,,,,,,,,,
42,Shum Yip Upperhills Tower 1,Shenzhen,China,2014,2020,388.1,"388.1 m / 1,273 ft",80,composite,hotel / office,,,,,,,,,,,
43,30 Hudson Yards,New York City,United States of America,2014,2019,387.1,"387.1 m / 1,270 ft",73,steel,office,,,,,,,,,,,
44,PIF Tower,Riyadh,saudi Arabia,2010,2021,385,"385m / 1,263 ft",72,composite,office ,,,,,,,,,,,
45,Shun Hing Square,Shenzhen,China,1993,1996,384,384 m,69,composite,Office,,,,,,,,,,,
46,Eton Place Dalian Tower 1,Dalian,China,2006/2009/2008 depending on the source,2016,283.2,283.2,80,composite,Hotel/Office,,,,,,,,,,,
47,Nanning Logan Century 1,Nanning,China,2013,2018,381.3,381.3 m (1251 ft),82,composite,"hotel, office",,,,,,,,,,,
48,Burj Mohammed Bin Rashid,Abu Dhabi,United Arab Emirates,2007,2014,381.2,381.2 m (1251 ft),88,concrete,residential,,,,,,,,,,,
49,Empire State Building,New York City,United Sates of America,1930,1931,"1,250","1,250 feet / 380 meters",103 floors,steel,"tourist, office",,,,,,,,,,,
50,Elite Residence,Dubai,United Arab Emirates,2007,2012,"1,248","1,248 ft / 380.5 m",91,concrete,residential,,,,,,,,,,,
51,1 Corporate Avenue,Wuhan,China,2013,2021,376,"376 m (1,234 ft)",73,composite,Office,,,,,,,,,,,
52,Dabaihui Plaza,Shenzhen,China,2012,2021,375.5,"375.5 m (1,232 ft)",70,composite,Office/Residential,,,,,,,,,,,
53,Central Plaza,Hong Kong,China,1989,1992,1227,1227 ft,79,concrete,residential,,,,,,,,,,,
54,Federation Tower,Moscow-City,Russia,2005,2017,1480,1480 ft,97,concrete,mix-use,,,,,,,,,,,
55,Dalian International Trade Center,Dalian,China,2003,2019,"1,214","1,214 ft/ 360.2 m",86,composite,mixed-use,,,,,,,,,,,
56,The Address Boulevard,Dubai,United Arab Emirates,Construction began in 2012,The building was completed in Q1 2017,368,368 m,72,concrete,"Mixed-use, primarily residential and hotel",,,,,,,,,,,
57,Qingdao Hai Tian Center,Qingdao,China,2016,2022,368.9,368.9m,73,composite,hotel / office,,,,,,,,,,,
58,Golden Eagle Tiandi Tower A,Nanjing,China,2013,2019,368.1,368.1m,77,composite,hotel / office,,,,,,,,,,,
59,Bank of China Tower,Hong Kong,China,1985,1990,367.4,"367.4 m / 1,205 ft",72,composite,Office,,,,,,,,,,,
60,Bank of America Tower,New York City,USA,2004,2009,365.8,"365.8 m / 1,200 ft",72,composite,Office,,,,,,,,,,,
61,The St. Regis Chicago,Chicago,United States of America,2016,2020,362.9,"362.9m or 1,191ft",101,concrete,Residential/Hotel,,,,,,,,,,,
62,Almas Tower,Dubai,United Arab Emirates,2005,2008,360,"360m or 1,181ft",73 (68 Above Ground and 5 Below Ground),concrete,Office,,,,,,,,,,,
63,Hanking Center,Shenzhen,China,2013,2018,358.9,"358.9 m / 1,177 ft",65,composite,Office,,,,,,,,,,,
64,Gevora Hotel,Dubai,United Arab Emirates,2005,2017,356.3,"356.3 m / 1,169 ft",75,steel/concrete,hotel,,,,,,,,,,,
65,JW Marriott Marquis Hotel Dubai Tower 1,"Dubai, UAE",United Arab Emirates (UAE),14-Nov-06,13-Nov-12,355.4,"355.4 m (1,166 ft) [to the top of the antenna spire]",82,concrete,hotel/retail,,,,,,,,,,,
66,JW Marriott Marquis Hotel Dubai Tower 2,"Dubai, UAE",United Arab Emirates (UAE),14-Nov-06,27-Feb-13,355.4,"355.4 m (1,166 ft) [to the top of the antenna spire]",82,concrete,hotel/retail,,,,,,,,,,,
67,Emirates Tower One,Dubai,United Arab Emirates,1996,2000,354.6,"354.6 m/ 1,163 ft",54,composite,office,,,,,,,,,,,
68,Raffles City Chongqing T3N,Chongqing,China,2013,2019,354.6,"354.6 m/ 1,163 ft",79,composite,residential/retail,,,,,,,,,,,
69,Raffles City Chongqing T4N,Chongqing,China,2015,2019,354.5,354.5 m,74,composite,Hotel/Office/Retail,,,,,,,,,,,
70,OKO - Residential Tower,Moscow,Russia,2012,2015,354.3,354.3 m,85,concrete,Residential,,,,,,,,,,,
71,The Torch,Dubai,United Arab Emirates,2007,2011,352,"352 m / 1,155 ft",86,concrete,residential,,,,,,,,,,,
72,Forum 66 Tower 1,Shenyang,China,2008,2015,35.6,"35.6 m / 1,150 ft",68,composite,hotel / office,,,,,,,,,,,
73,The Pinnacle,Guangzhou,China,2008,2012,350,"350 m / 1,149 ft",80,concrete,Office,,,,,,,,,,,
74,Spring City 66,Kunming,China,2013,2019,349,"349 m / 1,145 ft",61,composite,Office,,,,,,,,,,,
75,85 Sky Tower,Kaohsiung,Taiwan,1994,1997,378,"378 m / 1,240 ft",85,steel,office,,,,,,,,,,,
76,Shimao Hunan Center,Changsha,China,2014,2019,343,"343 m / 1,125 ft",74,composite,office,,,,,,,,,,,
77,Aon Center,Chicago,USA,1970,1973,"1,136","1,136 feet",88,steel,The headquarters of the Standard Oil Company of Indiana,,,,,,,,,,,
78,The Center,Hong Kong,China,1995,1998,"1,135","1,135 feet",73,steel,Office,,,,,,,,,,,
79,NEVA TOWERS 2,Moscow,Russia,2013,2020,"1,132","1,132 feet",79,concrete,residential,,,,,,,,,,,
80,875 North Michigan Avenue,Chicago,US,1965,1969,"1,128","1,128 feet",100,steel,residential/commercial,,,,,,,,,,,
81,Four Seasons Place,Kuala Lampur,Malaysia,2013,2018,342.5,342.5 m (1123.6877 ft),74,concrete,residential/hotel,,,,,,,,,,,
82,ADNOC Headquarters,Abu Dhabi,United Arab Emirates,2009,2015,342,342 m (1122.05 ft),65,concrete,office,,,,,,,,,,,
83,One Shenzhen Bay Tower 7,Shenzhen,China,2014,2018,341.4,"341.4 m / 1,120 ft",71,composite,residential / hotel / office,,,,,,,,,,,
84,LCT The Sharp Residential Tower A,Busan,South Korea,2013,2019,339.1,"339.1 m / 1,113 ft",85,concrete,residential,,,,,,,,,,,
85,Commerzbank Tower,Frankfurt,Germany,1994,2003,256,256m / 850ft,56,steel,office,,,,,,,,,,,
86,Torre de Cristal,Madrid,Spain,2004,2008,249,249m,50,concrete,office,,,,,,,,,,,
87,Comcast Technology Center,Philadelphia,United States of America,2014,2018,339.1,"339.1 m (1,112 ft)",59,composite,hotel / office,,,,,,,,,,,
88,YunDing Tower,Jinan,China,2016,2020,339,"339 m (1,112 ft)",69,concrete,office / hotel,,,,,,,,,,,
89,Wuxi International Finance Square,Wuxi,China,2011,2014,339,"339 m (1,112 ft)",68,composite,hotel / office,,,,,,,,,,,
90,Heartland 66 Office Tower,Wuhan,China,2015,2020,339,"339 m (1,112 ft)",60,composite,office,,,,,,,,,,,
91,Chongqing World Financial Center,Chongqing,China,2010,2015,338.9,"338.9 m (1,112 ft)",72,composite,hotel / office,,,,,,,,,,,
92,Mercury City Tower,Moscow,Russia,2006,2013,338.8,"338.8 m (1,112 ft)",75,concrete,residential / office,,,,,,,,,,,
93,Suning Plaza Tower 1,Zhenjiang,China,2012,2018,338,"338 m (1,109 ft)",75,composite,hotel / serviced apartments / SOHO / office,,,,,,,,,,,
94,Tianjin Modern City Office Tower,Tianjin,China,2011,2016,338,"338 m (1,109 ft)",65,composite,office,,,,,,,,,,,
95,Hengqin International Finance Center,Zhuhai,China,2015,2020,337.7,"337.7 m (1,108 ft)",69,composite,residential / office,,,,,,,,,,,
96,Tianjin World Financial Center,Tianjin,China,2007,2011,336.9,"336.9 m (1,105 ft)",75,composite,office,,,,,,,,,,,
97,SLS Dubai,Dubai,United Arab Emirates,2016,2020,336,"336 m (1,102 ft)",78,concrete,serviced apartments / hotel,,,,,,,,,,,
98,Wilshire Grand Center,Los Angeles,United States of America,2014,2017,335.3,"335.3 m (1,100 ft)",62,composite,hotel / office,,,,,,,,,,,
99,DAMAC Heights,Dubai,United Arab Emirates,2011,2018,335.1,"335.1 m (1,099 ft)",88,concrete,residential,,,,,,,,,,,
100,"Twin Towers Guiyang, East Tower",Guiyang,China,2012,2020,335,"335 m (1,099 ft)",74,composite,office,,,,,,,,,,,
101,"Twin Towers Guiyang, West Tower",Guiyang,China,2012,2020,335,"335 m (1,099 ft)",74,composite,hotel / office,,,,,,,,,,,
102,Shimao International Plaza,Shanghai,China,2001,2006,333.3,"333.3 m (1,094 ft)",60,concrete,hotel / office / retail,,,,,,,,,,,